CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000b1yc8UAA,PO BOX 507 NORTH BEND OH,09/06/2022 12:00:00 AM,REHAB,,10,,NOT CERTIFIED,,,QUALIFIED,-84.5124602,39.1014537,,KENNEDY HEIGHTS,N/A,70543.05
a0F4W00000b1ypCUAQ,4931 JAMESON ST,09/29/2022 12:00:00 AM,REHAB,135340,10,38195.55924996,NOT CERTIFIED,,,QUALIFIED,-84.38356192,39.1593116300299,,MADISONVILLE,MADISONVILLE,56070.02
a0F4W00000b1yrqUAA,4318 WHETSEL AV,09/27/2022 12:00:00 AM,REHAB,300000,10,84665.7882,NOT CERTIFIED,,,QUALIFIED,-84.39376229,39.1525039700299,,MADISONVILLE,MADISONVILLE,222418
a0F4W00000b1yxSUAQ,1514 EAST MCMILLAN ST,08/16/2022 12:00:00 AM,REHAB,,10,,NOT CERTIFIED,,,QUALIFIED,-84.5124602,39.1014537,,EAST WALNUT HILLS,N/A,366750
a0F4W00000b1yyjUAA,433 CLARK ST,09/14/2022 12:00:00 AM,REHAB,141410,10,39908.63036454,NOT CERTIFIED,,,QUALIFIED,-84.52244052,39.1072813500299,,WEST END,WEST END,125000
a0F4W00000b1zGPUAY,3960 FEEMSTER ST,09/19/2022 12:00:00 AM,NEW,661770,15,280146.39328557,PLATINUM,04/04/2023 12:00:00 AM,,QUALIFIED,-84.43269889,39.1100816300299,,EAST END,COLUMBIA TUSCULUM,763119
a0F4W00000b1zGjUAI,3912 GLEN LYON AV,09/06/2022 12:00:00 AM,NEW,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.47851875,39.1534716700299,,NORTH AVONDALE,NORTH AVONDALE,756174.52
a0F4W00000b1zGyUAI,1665 JONATHAN AV,09/09/2022 12:00:00 AM,NEW,156780,15,66369.51136998,GOLD,12/19/2022 12:00:00 AM,,QUALIFIED,-84.47240851,39.1423934100299,,EVANSTON,EVANSTON,145038.49
a0F4W00000b1zHDUAY,3557 MONTEITH AV,09/22/2022 12:00:00 AM,NEW,1225000,15,518577.952725,PLATINUM,,,QUALIFIED,-84.43644294,39.1408968700299,,HYDE PARK,HYDE PARK,1100000
a0F4W00000b20XKUAY,11 E COURT ST,08/04/2022 12:00:00 AM,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.5137944,39.1060087700299,,DOWNTOWN CINCINNATI,DOWNTOWN,301164
a0F4W00000b20XeUAI,11 E COURT ST,08/01/2022 12:00:00 AM,REHAB,275000,10,77610.30585,NOT CERTIFIED,,,QUALIFIED,-84.51379088,39.1059926200299,,DOWNTOWN CINCINNATI,DOWNTOWN,466860
