FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2024,06/19/2024 12:00:00 AM,25032236.36
2016,01/05/2016 12:00:00 AM,1315746.19
2024,11/20/2023 12:00:00 AM,3122201.33
2017,08/17/2016 12:00:00 AM,1265547.37
2024,11/04/2023 12:00:00 AM,26540.26
2021,10/01/2020 12:00:00 AM,1959349.69
2018,07/11/2017 12:00:00 AM,20421437.84
2023,02/28/2023 12:00:00 AM,32618488.24
2021,08/09/2020 12:00:00 AM,3977958.75
2023,03/08/2023 12:00:00 AM,6594268.15
2018,08/04/2017 12:00:00 AM,1621697.73
2020,06/14/2020 12:00:00 AM,2375817.71
2018,07/13/2017 12:00:00 AM,5009793.66
2020,10/21/2019 12:00:00 AM,1768550.8
2015,03/10/2015 12:00:00 AM,17584264.33
2015,12/01/2014 12:00:00 AM,2946714.5
2021,10/09/2020 12:00:00 AM,3989160.24
2017,11/15/2016 12:00:00 AM,20093113.32
2017,10/31/2016 12:00:00 AM,43449725.62
2020,01/29/2020 12:00:00 AM,5155373.24
2019,09/05/2018 12:00:00 AM,1584308.62
2015,03/23/2015 12:00:00 AM,899024.2
2021,01/16/2021 12:00:00 AM,150237.01
2018,11/06/2017 12:00:00 AM,2121203.43
2015,04/07/2015 12:00:00 AM,16148521.6
2019,08/24/2018 12:00:00 AM,8201972.37
2020,11/14/2019 12:00:00 AM,2985019.37
2022,04/08/2022 12:00:00 AM,6884461.38
2019,12/06/2018 12:00:00 AM,4295332.02
2023,10/02/2022 12:00:00 AM,2048.15
2019,03/26/2019 12:00:00 AM,3977563.31
2019,04/03/2019 12:00:00 AM,1537735.07
2015,11/04/2014 12:00:00 AM,13663985.3
2018,06/20/2018 12:00:00 AM,3387976.87
2024,01/12/2024 12:00:00 AM,829475.42
2019,09/22/2018 12:00:00 AM,13
2016,09/04/2015 12:00:00 AM,285144.09
2016,01/13/2016 12:00:00 AM,1971821.51
2023,04/22/2023 12:00:00 AM,62853.44
2024,03/22/2024 12:00:00 AM,2535933.12
2016,08/30/2015 12:00:00 AM,919470.73
2018,09/15/2017 12:00:00 AM,1962096.02
2019,06/18/2019 12:00:00 AM,4804643.69
2024,02/23/2024 12:00:00 AM,5665673.85
2020,04/28/2020 12:00:00 AM,28089610.54
2018,11/01/2017 12:00:00 AM,2208449.74
2019,12/26/2018 12:00:00 AM,1162979.85
2015,06/05/2015 12:00:00 AM,7863957.71
2023,04/07/2023 12:00:00 AM,3510718.05
2022,11/22/2021 12:00:00 AM,6335644.49
2015,04/29/2015 12:00:00 AM,332723.83
2017,09/19/2016 12:00:00 AM,10499741.35
2019,05/02/2019 12:00:00 AM,4348085.4
2021,09/11/2020 12:00:00 AM,1889407.11
2019,10/19/2018 12:00:00 AM,1632191.22
2023,07/30/2022 12:00:00 AM,79236.56
2019,08/31/2018 12:00:00 AM,1336293.13
2022,08/12/2021 12:00:00 AM,878904.52
2018,09/07/2017 12:00:00 AM,9662617.14
2017,03/14/2017 12:00:00 AM,1880882.38
2018,05/25/2018 12:00:00 AM,7111224.49
2015,05/12/2015 12:00:00 AM,5808786.35
2018,10/02/2017 12:00:00 AM,1399331.85
2019,06/28/2019 12:00:00 AM,-12023924.25
2018,10/04/2017 12:00:00 AM,5412342.12
2021,01/25/2021 12:00:00 AM,3387161.13
2015,07/21/2014 12:00:00 AM,1862501.71
2016,10/05/2015 12:00:00 AM,937150.39
2024,05/31/2024 12:00:00 AM,3107482.4
2018,12/02/2017 12:00:00 AM,505909.82
2024,01/19/2024 12:00:00 AM,1349049.05
2021,02/01/2021 12:00:00 AM,157868.99
2019,03/18/2019 12:00:00 AM,1042850.78
2023,01/23/2023 12:00:00 AM,943678.85
2015,11/16/2014 12:00:00 AM,706061.04
2024,01/22/2024 12:00:00 AM,2682343.41
2021,01/12/2021 12:00:00 AM,9433440.34
2018,09/28/2017 12:00:00 AM,1172756.59
2019,04/12/2019 12:00:00 AM,1714392.42
2020,09/18/2019 12:00:00 AM,4790588.24
2016,01/18/2016 12:00:00 AM,5197.74
2023,09/30/2022 12:00:00 AM,2642629.69
2019,09/07/2018 12:00:00 AM,3670175.46
2021,07/02/2020 12:00:00 AM,-9245.02
2017,08/09/2016 12:00:00 AM,24753335.36
2015,10/21/2014 12:00:00 AM,27679698.34
2022,02/06/2022 12:00:00 AM,52773.58
2016,03/19/2016 12:00:00 AM,18792.67
2020,01/09/2020 12:00:00 AM,2671320.95
2019,03/05/2019 12:00:00 AM,16581193.87
2020,09/05/2019 12:00:00 AM,8171036.32
2019,08/15/2018 12:00:00 AM,1354167.44
2017,08/05/2016 12:00:00 AM,1903515.68
2022,11/05/2021 12:00:00 AM,4122796.41
2021,01/13/2021 12:00:00 AM,1003149.61
2023,08/02/2022 12:00:00 AM,19626461.88
2017,11/14/2016 12:00:00 AM,2113885.44
2020,11/03/2019 12:00:00 AM,0
2019,01/18/2019 12:00:00 AM,1440422.22
2017,11/29/2016 12:00:00 AM,74851550.99
2016,12/09/2015 12:00:00 AM,2519102.83
2015,01/12/2015 12:00:00 AM,1904582.21
2018,12/21/2017 12:00:00 AM,5509804.6
2024,04/01/2024 12:00:00 AM,1849069.69
2020,03/29/2020 12:00:00 AM,34064.59
2023,02/11/2023 12:00:00 AM,205.2
2024,12/15/2023 12:00:00 AM,3941953.59
2018,09/27/2017 12:00:00 AM,5960004.88
2015,02/10/2015 12:00:00 AM,17279721.74
2017,11/12/2016 12:00:00 AM,545118.92
2018,08/08/2017 12:00:00 AM,16582611.16
2019,09/21/2018 12:00:00 AM,3920598.42
2020,10/26/2019 12:00:00 AM,450532.49
2024,01/03/2024 12:00:00 AM,3667932.05
2018,10/12/2017 12:00:00 AM,2232313.99
2015,04/21/2015 12:00:00 AM,26603852.37
2021,05/31/2021 12:00:00 AM,2076751.67
2017,10/17/2016 12:00:00 AM,-120711.34
2017,11/08/2016 12:00:00 AM,5506711.25
2021,03/25/2021 12:00:00 AM,984084.44
2021,09/19/2020 12:00:00 AM,-7860
2021,01/20/2021 12:00:00 AM,4132686.5
2015,08/15/2014 12:00:00 AM,473437.7
2020,08/24/2019 12:00:00 AM,1624.62
2016,12/18/2015 12:00:00 AM,3949510.07
2024,10/19/2023 12:00:00 AM,2213545.72
2020,10/28/2019 12:00:00 AM,1780215.05
2015,06/14/2015 12:00:00 AM,3944753.76
2021,06/04/2021 12:00:00 AM,5824919.83
2017,02/21/2017 12:00:00 AM,27554139.54
