Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
68,Wednesday Jun 12,boxscore,CIN,,CLE,W,4,2,,33-35,2,7.0,Lodolo,Bibee,Díaz,2:35,N,42427,.73,+,
69,Friday Jun 14,boxscore,CIN,@,MIL,W,6,5,,34-35,3,6.0,Greene,Peralta,Díaz,2:47,N,32810,.90,++,
70,Saturday Jun 15,boxscore,CIN,@,MIL,L,1,3,,34-36,3,7.0,Wilson,Abbott,Megill,2:11,D,38419,.94,-,
71,Sunday Jun 16,boxscore,CIN,@,MIL,L,4,5,,34-37,3,8.0,Rea,Sims,Megill,2:40,D,41676,.92,--,
72,Monday Jun 17,boxscore,CIN,@,PIT,L,1,4,,34-38,4,8.0,Skenes,Spiers,Bednar,2:24,N,19951,.76,---,
73,Tuesday Jun 18,boxscore,CIN,@,PIT,W,2,1,,35-38,3,8.0,Lodolo,Falter,Díaz,2:06,N,16880,.70,+,
74,Wednesday Jun 19,boxscore,CIN,@,PIT,L,0,1,,35-39,5,9.0,Holderman,Martinez,Bednar,2:08,D,21527,.76,-,
75,Friday Jun 21,boxscore,CIN,,BOS,W,5,2,,36-39,3,7.5,Abbott,Crawford,Díaz,2:30,N,37146,.61,+,
76,Saturday Jun 22,boxscore,CIN,,BOS,L,3,4,,36-40,5,7.5,Kelly,Wilson,Jansen,2:53,D,31803,.71,-,
77,Sunday Jun 23,boxscore,CIN,,BOS,L,4,7,,36-41,5,8.5,Bernardino,Lodolo,Jansen,2:53,D,29199,.64,--,
78,Monday Jun 24,boxscore,CIN,,PIT,W,11,5,,37-41,3,8.5,Spiers,Falter,,2:49,N,20077,.58,+,
79,Tuesday Jun 25,boxscore,CIN,,PIT,L,5,9,,37-42,4,9.5,Keller,Greene,,2:45,N,25562,.63,-,
80,Wednesday Jun 26,boxscore,CIN,,PIT,L,1,6,,37-43,4,10.5,Ortiz,Ashcraft,,2:18,D,22450,.52,--,
81,Thursday Jun 27,boxscore,CIN,@,STL,W,11,4,,38-43,4,10.0,Abbott,Mikolas,,2:45,N,32787,.46,+,
82,Friday Jun 28,boxscore,CIN,@,STL,L,0,1,,38-44,4,11.0,Pallante,Montas,Helsley,2:36,N,40220,.55,-,
83,Saturday Jun 29,boxscore,CIN,@,STL,W,9,4,,39-44,4,10.0,Spiers,Gray,,3:03,D,39164,.49,+,
84,Sunday Jun 30,boxscore,CIN,@,STL,L,0,2,,39-45,4,11.0,Lynn,Greene,Helsley,2:17,D,40951,.46,-,
85,Tuesday Jul 2,boxscore,CIN,@,NYY,W,5,4,,40-45,4,10.5,Ashcraft,Gil,Díaz,2:43,N,41219,.45,+,
